day,request_types,total_requests,avg_requests,min,max
2023-09-01,New Envelope,42419482,71054.40871021776,1,18468833
2023-09-02,New Envelope,40249609,63989.839427662955,1,19494797
2023-09-03,New Envelope,41219152,67906.34596375618,1,21125853
2023-09-04,New Envelope,46497354,78809.07457627119,1,22667051
2023-09-05,New Envelope,45667820,70042.66871165644,1,20410634
2023-09-06,New Envelope,45895557,68705.9236526946,1,20588073
2023-09-07,New Envelope,44156158,55472.56030150754,1,20611361
2023-09-08,New Envelope,43599460,51965.983313468416,1,19312991
2023-09-09,New Envelope,41701108,52454.22389937107,1,20767473
2023-09-10,New Envelope,43384487,55621.13717948718,1,21852318
2023-09-11,New Envelope,46877076,59188.22727272727,1,19499849
2023-09-12,New Envelope,47879388,57409.338129496406,1,20406459
2023-09-13,New Envelope,47082348,55002.7429906542,1,19798213
2023-09-14,New Envelope,46386965,53379.70655926352,1,18748420
2023-09-15,New Envelope,45553778,55962.87223587224,1,18802777
2023-09-16,New Envelope,42129482,52399.85323383084,1,19840885
2023-09-17,New Envelope,42854234,51077.75208581645,1,19861973
2023-09-18,New Envelope,48669588,59498.273838630805,1,20019216
2023-09-19,New Envelope,46137807,52429.326136363634,1,18364500
2023-09-20,New Envelope,46417780,53476.70506912442,1,19187535
2023-09-21,New Envelope,48756760,53874.872928176796,1,19282995
2023-09-22,New Envelope,49465879,55269.138547486036,1,19160896
2023-09-23,New Envelope,47361928,56049.61893491124,1,20597281
2023-09-24,New Envelope,48539359,55410.22716894977,1,21771883
2023-09-25,New Envelope,53465688,59472.40044493882,1,19647246
2023-09-26,New Envelope,53421658,57196.63597430407,1,20271669
2023-09-27,New Envelope,54546943,58464.0332261522,1,22710341
2023-09-28,New Envelope,48125057,54378.59548022599,1,20076814
2023-09-29,New Envelope,44000630,50809.0415704388,1,18976276
2023-09-30,New Envelope,39651937,44155.83184855234,1,19748922
