day,request_types,total_requests,avg_requests,min,max
2023-08-01,auth,45931737,51492.97869955157,0,24267505
2023-08-02,auth,45613443,49365.19805194805,0,23739820
2023-08-03,auth,45331755,48431.36217948718,0,23832084
2023-08-04,auth,44490393,50788.1198630137,0,23828267
2023-08-05,auth,42883064,49633.17592592593,0,25553372
2023-08-06,auth,44393182,49936.08773903262,0,26961822
2023-08-07,auth,46768551,51337.597145993415,0,25612703
2023-08-08,auth,45452058,50334.5049833887,0,24429034
2023-08-09,auth,45550520,50837.63392857143,0,24771166
2023-08-10,auth,44832805,48000.86188436831,0,24276531
2023-08-11,auth,43969167,49237.58902575588,0,24181973
2023-08-12,auth,42870237,47580.72918978913,0,25602908
2023-08-13,auth,45316112,51204.646327683615,0,27711647
2023-08-14,auth,45148792,50389.27678571428,0,25102398
2023-08-15,auth,44944173,50499.07078651685,0,25505832
2023-08-16,auth,44046347,49158.869419642855,0,24173875
2023-08-17,auth,45110979,48927.30911062907,0,24499753
2023-08-18,auth,44232334,48288.57423580786,0,23779250
2023-08-19,auth,43113826,48118.109375,0,25541501
2023-08-20,auth,45403195,51594.53977272727,0,27363851
2023-08-21,auth,47343662,52487.43015521064,0,25809875
2023-08-22,auth,45889273,50650.41169977925,0,24705254
2023-08-23,auth,46337612,52006.29854096521,0,24675720
2023-08-24,auth,45845107,49402.05495689655,0,24298161
2023-08-25,auth,44365553,49792.988776655446,0,23854997
2023-08-26,auth,43624848,50433.35028901734,0,25483462
2023-08-27,auth,45696459,50661.262749445676,0,27058759
2023-08-28,auth,47719467,52381.41273326016,0,24895693
2023-08-29,auth,46905408,50708.54918918919,0,24637720
2023-08-30,auth,47564452,51756.7486398259,0,25001079
2023-08-31,auth,45769208,51195.982102908274,0,23781438
