day,request_types,total_requests,avg_requests,min,max
2023-08-01,Refresh,84386317,130628.97368421052,1,53449997
2023-08-02,Refresh,84873659,131180.30757341578,1,53044629
2023-08-03,Refresh,84061306,130732.9797822706,1,53154252
2023-08-04,Refresh,82709090,129435.19561815336,1,53355247
2023-08-05,Refresh,81780691,131904.34032258065,1,57414585
2023-08-06,Refresh,86309719,138538.87479935793,1,60797113
2023-08-07,Refresh,87143938,132841.36890243902,1,56302185
2023-08-08,Refresh,86251804,135829.61259842518,1,55608453
2023-08-09,Refresh,85939076,134489.94679186228,1,55198985
2023-08-10,Refresh,85329626,131276.3476923077,1,55020225
2023-08-11,Refresh,83220282,131055.56220472441,1,54112986
2023-08-12,Refresh,84606347,134938.35247208932,1,59991988
2023-08-13,Refresh,87209973,137990.46360759492,1,61188872
2023-08-14,Refresh,88871782,138214.2799377916,1,58485890
2023-08-15,Refresh,86040019,132983.02782071097,1,55674922
2023-08-16,Refresh,84017950,130869.08099688473,1,54089141
2023-08-17,Refresh,85120275,130954.26923076923,1,54487142
2023-08-18,Refresh,83628960,128068.85145482389,1,53617436
2023-08-19,Refresh,83734238,134404.8764044944,1,58392844
2023-08-20,Refresh,89602116,142451.69475357712,1,62721233
2023-08-21,Refresh,89664929,139015.3937984496,1,57923510
2023-08-22,Refresh,87832431,135753.370942813,1,56457797
2023-08-23,Refresh,88319305,136505.88098918085,1,56029302
2023-08-24,Refresh,87176199,134323.88135593222,1,55222961
2023-08-25,Refresh,84025334,129668.72530864198,1,53847638
2023-08-26,Refresh,84208216,133240.84810126582,1,58229244
2023-08-27,Refresh,89186510,140894.96050552922,1,61778372
2023-08-28,Refresh,90308630,138298.05513016845,1,57453076
2023-08-29,Refresh,86502178,131863.0762195122,1,54549159
2023-08-30,Refresh,89895641,137455.10856269114,1,56896153
2023-08-31,Refresh,85476254,133348.29017160687,1,53695771
