day,request_types,total_requests,avg_requests,min,max
2023-08-01,RTIS,77576481,136819.19047619047,1,31314169
2023-08-02,RTIS,76467023,135100.74734982333,1,30098617
2023-08-03,RTIS,75454408,133311.67491166078,1,29785454
2023-08-04,RTIS,75056528,138225.65009208102,1,29585828
2023-08-05,RTIS,68436157,126733.62407407408,1,26952802
2023-08-06,RTIS,71511761,131455.44301470587,1,28223596
2023-08-07,RTIS,78805233,140723.63035714286,1,31717248
2023-08-08,RTIS,78416186,141036.30575539568,1,31434224
2023-08-09,RTIS,78849774,141816.14028776978,1,31592591
2023-08-10,RTIS,78659145,141219.2908438061,1,31225108
2023-08-11,RTIS,74274159,132869.69409660107,1,29507948
2023-08-12,RTIS,67759579,124787.43830570903,1,26831111
2023-08-13,RTIS,70168020,129222.8729281768,1,28023692
2023-08-14,RTIS,79036412,141388.93023255814,1,31837402
2023-08-15,RTIS,78594695,141612.06306306308,1,31164850
2023-08-16,RTIS,78885567,142908.63586956522,1,31330675
2023-08-17,RTIS,78635427,141430.62410071943,1,31383279
2023-08-18,RTIS,75518159,137056.5499092559,1,30190127
2023-08-19,RTIS,69637618,127541.4249084249,1,27487760
2023-08-20,RTIS,73805993,135423.84036697246,1,28541807
2023-08-21,RTIS,82644803,149178.34476534295,1,32516246
2023-08-22,RTIS,81064442,147927.81386861313,1,31718829
2023-08-23,RTIS,81525290,147958.7840290381,1,31491711
2023-08-24,RTIS,80538979,145903.94746376813,1,31091995
2023-08-25,RTIS,79557794,143347.3765765766,1,31669456
2023-08-26,RTIS,71715230,133299.68401486988,1,28407036
2023-08-27,RTIS,73026761,135234.74259259258,1,28578986
2023-08-28,RTIS,83937653,152891.89981785064,1,32625180
2023-08-29,RTIS,83402972,152752.69597069596,1,32798162
2023-08-30,RTIS,82685940,152276.13259668509,1,33099900
2023-08-31,RTIS,80047443,147417.02209944752,1,32864492
